Hours since 00:00 Jan 1,Lifetime Hourly Data: System power generated (kW)
981.5,-0.0269165
982.5,-0.0269165
983.5,-0.0269165
984.5,-0.0269165
985.5,-0.0269165
986.5,-0.0269165
987.5,-0.0269165
988.5,-0.0269165
989.5,-0.0269165
990.5,-0.0269165
991.5,6.70582
992.5,45.1041
993.5,168.654
994.5,155.353
995.5,199.686
996.5,244.53
997.5,244.53
998.5,240.445
999.5,196.621
1000.5,134.837
1001.5,48.7839
1002.5,-0.0269165
1003.5,-0.0269165
1004.5,-0.0269165
1005.5,-0.0269165
1006.5,-0.0269165
1007.5,-0.0269165
1008.5,-0.0269165
1009.5,-0.0269165
1010.5,-0.0269165
1011.5,-0.0269165
1012.5,-0.0269165
1013.5,-0.0269165
1014.5,-0.0269165
1015.5,8.26041
1016.5,97.1753
1017.5,170.792
1018.5,220.73
1019.5,244.53
1020.5,244.53
1021.5,244.53
1022.5,234.054
1023.5,192.216
1024.5,131.875
1025.5,48.2376
1026.5,-0.0269165
1027.5,-0.0269165
1028.5,-0.0269165
1029.5,-0.0269165
1030.5,-0.0269165
1031.5,-0.0269165
1032.5,-0.0269165
1033.5,-0.0269165
1034.5,-0.0269165
1035.5,-0.0269165
1036.5,-0.0269165
1037.5,-0.0269165
1038.5,-0.0269165
1039.5,7.87501
1040.5,94.2663
1041.5,163.771
1042.5,209.43
1043.5,236.41
1044.5,244.53
1045.5,244.096
1046.5,223.887
1047.5,185.026
1048.5,129.191
1049.5,48.0826
1050.5,-0.0269165
1051.5,-0.0269165
1052.5,-0.0269165
1053.5,-0.0269165
1054.5,-0.0269165
1055.5,-0.0269165
1056.5,-0.0269165
1057.5,-0.0269165
1058.5,-0.0269165
1059.5,-0.0269165
1060.5,-0.0269165
1061.5,-0.0269165
1062.5,-0.0269165
1063.5,6.50941
1064.5,89.1317
1065.5,161.162
1066.5,209.202
1067.5,238.95
1068.5,244.53
1069.5,242.059
1070.5,214.191
1071.5,178.58
1072.5,122.701
1073.5,24.9387
1074.5,-0.0269165
1075.5,-0.0269165
1076.5,-0.0269165
1077.5,-0.0269165
1078.5,-0.0269165
1079.5,-0.0269165
1080.5,-0.0269165
1081.5,-0.0269165
1082.5,-0.0269165
1083.5,-0.0269165
1084.5,-0.0269165
1085.5,-0.0269165
1086.5,-0.0269165
1087.5,-0.0269165
1088.5,12.3919
1089.5,57.0586
1090.5,51.372
1091.5,33.9846
1092.5,79.5903
1093.5,130.082
1094.5,146.537
1095.5,128.894
1096.5,85.7506
1097.5,37.5674
1098.5,-0.0269165
1099.5,-0.0269165
1100.5,-0.0269165
1101.5,-0.0269165
1102.5,-0.0269165
1103.5,-0.0269165
1104.5,-0.0269165
1105.5,-0.0269165
1106.5,-0.0269165
1107.5,-0.0269165
1108.5,-0.0269165
1109.5,-0.0269165
1110.5,-0.0269165
1111.5,5.2357
1112.5,30.5118
1113.5,44.6919
1114.5,111.638
1115.5,122.626
1116.5,158.45
1117.5,225.863
1118.5,128.019
1119.5,162.966
1120.5,106.97
1121.5,35.2109
1122.5,-0.0269165
1123.5,-0.0269165
1124.5,-0.0269165
1125.5,-0.0269165
1126.5,-0.0269165
1127.5,-0.0269165
1128.5,-0.0269165
1129.5,-0.0269165
1130.5,-0.0269165
1131.5,-0.0269165
1132.5,-0.0269165
1133.5,-0.0269165
1134.5,-0.0269165
1135.5,2.05926
1136.5,9.88283
1137.5,54.4107
1138.5,44.972
1139.5,29.3673
1140.5,66.5064
1141.5,62.7114
1142.5,46.0412
1143.5,35.1434
1144.5,12.625
1145.5,12.2125
1146.5,-0.0269165
1147.5,-0.0269165
1148.5,-0.0269165
1149.5,-0.0269165
1150.5,-0.0269165
1151.5,-0.0269165
1152.5,-0.0269165
1153.5,-0.0269165
1154.5,-0.0269165
1155.5,-0.0269165
1156.5,-0.0269165
1157.5,-0.0269165
1158.5,-0.0269165
1159.5,6.87599
1160.5,1.18269
1161.5,2.6578
1162.5,13.1019
1163.5,56.9964
1164.5,26.9872
1165.5,41.8161
1166.5,26.3834
1167.5,14.1991
1168.5,121.848
1169.5,43.474
1170.5,-0.0269165
1171.5,-0.0269165
1172.5,-0.0269165
1173.5,-0.0269165
1174.5,-0.0269165
1175.5,-0.0269165
1176.5,-0.0269165
1177.5,-0.0269165
1178.5,-0.0269165
1179.5,-0.0269165
1180.5,-0.0269165
1181.5,-0.0269165
1182.5,-0.0269165
1183.5,-0.0269165
1184.5,14.3538
1185.5,29.5365
1186.5,45.8896
1187.5,49.6145
1188.5,33.8767
1189.5,43.9535
1190.5,41.6578
1191.5,29.4004
1192.5,4.99075
1193.5,42.6828
1194.5,-0.0269165
1195.5,-0.0269165
1196.5,-0.0269165
1197.5,-0.0269165
1198.5,-0.0269165
1199.5,-0.0269165
1200.5,-0.0269165
1201.5,-0.0269165
1202.5,-0.0269165
1203.5,-0.0269165
1204.5,-0.0269165
1205.5,-0.0269165
1206.5,-0.0269165
1207.5,-0.0269165
1208.5,-0.0269165
1209.5,10.3637
1210.5,35.6583
1211.5,55.4866
1212.5,47.6655
1213.5,35.1326
1214.5,31.4096
1215.5,16.8578
1216.5,27.908
1217.5,3.47528
1218.5,-0.0269165
1219.5,-0.0269165
1220.5,-0.0269165
1221.5,-0.0269165
1222.5,-0.0269165
1223.5,-0.0269165
1224.5,-0.0269165
1225.5,-0.0269165
1226.5,-0.0269165
1227.5,-0.0269165
1228.5,-0.0269165
1229.5,-0.0269165
1230.5,-0.0269165
1231.5,-0.0269165
1232.5,-0.0269165
1233.5,11.1077
1234.5,32.8413
1235.5,42.2156
1236.5,47.8454
1237.5,51.5212
1238.5,55.0788
1239.5,44.2255
1240.5,10.2431
1241.5,6.19533
1242.5,-0.0269165
1243.5,-0.0269165
1244.5,-0.0269165
1245.5,-0.0269165
1246.5,-0.0269165
1247.5,-0.0269165
1248.5,-0.0269165
1249.5,-0.0269165
1250.5,-0.0269165
1251.5,-0.0269165
1252.5,-0.0269165
1253.5,-0.0269165
1254.5,-0.0269165
1255.5,2.79549
1256.5,44.4923
1257.5,18.3878
1258.5,16.7654
1259.5,21.2137
1260.5,67.9515
1261.5,69.1552
1262.5,101.414
1263.5,116.614
1264.5,104.381
1265.5,12.0174
1266.5,-0.0269165
1267.5,-0.0269165
1268.5,-0.0269165
1269.5,-0.0269165
1270.5,-0.0269165
1271.5,-0.0269165
1272.5,-0.0269165
1273.5,-0.0269165
1274.5,-0.0269165
1275.5,-0.0269165
1276.5,-0.0269165
1277.5,-0.0269165
1278.5,-0.0269165
1279.5,5.5994
1280.5,16.6979
1281.5,118.816
1282.5,158.21
1283.5,235.629
1284.5,244.53
1285.5,240.787
1286.5,217.775
1287.5,177.288
1288.5,121.097
1289.5,46.0439
1290.5,-0.0269165
1291.5,-0.0269165
1292.5,-0.0269165
1293.5,-0.0269165
1294.5,-0.0269165
1295.5,-0.0269165
1296.5,-0.0269165
1297.5,-0.0269165
1298.5,-0.0269165
1299.5,-0.0269165
1300.5,-0.0269165
1301.5,-0.0269165
1302.5,-0.0269165
1303.5,1.7065
1304.5,17.3021
1305.5,1.71128
1306.5,0.213101
1307.5,35.7118
1308.5,46.2673
1309.5,56.1678
1310.5,64.5292
1311.5,60.729
1312.5,54.5475
1313.5,11.9992
1314.5,-0.0269165
1315.5,-0.0269165
1316.5,-0.0269165
1317.5,-0.0269165
1318.5,-0.0269165
1319.5,-0.0269165
1320.5,-0.0269165
1321.5,-0.0269165
1322.5,-0.0269165
1323.5,-0.0269165
1324.5,-0.0269165
1325.5,-0.0269165
1326.5,-0.0269165
1327.5,-0.0269165
1328.5,2.96131
1329.5,-0.0269165
1330.5,2.53098
1331.5,14.6461
1332.5,76.6779
1333.5,77.8599
1334.5,24.1567
1335.5,11.3597
1336.5,21.7834
1337.5,14.5155
1338.5,-0.0269165
1339.5,-0.0269165
1340.5,-0.0269165
1341.5,-0.0269165
1342.5,-0.0269165
1343.5,-0.0269165
1344.5,-0.0269165
1345.5,-0.0269165
1346.5,-0.0269165
1347.5,-0.0269165
1348.5,-0.0269165
1349.5,-0.0269165
1350.5,-0.0269165
1351.5,18.1105
1352.5,98.899
1353.5,168.166
1354.5,215.285
1355.5,244.024
