Hours since 00:00 Jan 1,Lifetime Hourly Data: System power generated (kW)
1250.5,145.493
1251.5,114.389
1252.5,90.7057
1253.5,71.0222
1254.5,59.6271
1255.5,59.6271
1256.5,38.5654
1257.5,59.6334
1258.5,79.9528
1259.5,87.5228
1260.5,109.865
1261.5,114.697
1262.5,137.909
1263.5,107.211
1264.5,229.933
1265.5,197.002
1266.5,237.662
1267.5,246.211
1268.5,240.762
1269.5,205.72
1270.5,176.71
1271.5,147.994
1272.5,106.304
1273.5,71.2384
1274.5,49.3279
1275.5,32.3605
1276.5,8.10546
1277.5,5.59161
1278.5,0
1279.5,0
1280.5,1.43075
1281.5,0
1282.5,2.91717
1283.5,8.14775
1284.5,7.00846
1285.5,6.43213
1286.5,0
1287.5,0
1288.5,0
1289.5,0
1290.5,36.4508
1291.5,44.9763
1292.5,52.184
1293.5,64.6869
1294.5,39.9763
1295.5,62.1318
1296.5,32.7353
1297.5,12.1781
1298.5,0
1299.5,45.0392
1300.5,59.717
1301.5,42.5919
1302.5,18.4714
1303.5,1.39612
1304.5,0
1305.5,0
1306.5,31.7626
1307.5,18.0483
1308.5,17.6344
1309.5,53.5643
1310.5,40.7141
1311.5,29.5355
1312.5,42.2609
1313.5,51.2868
1314.5,155.962
1315.5,176.965
1316.5,163.726
1317.5,163.164
1318.5,249.183
1319.5,227.615
1320.5,243.019
1321.5,162.507
1322.5,145.31
1323.5,74.2863
1324.5,53.0503
1325.5,47.2839
1326.5,35.6906
1327.5,31.5895
1328.5,33.5277
1329.5,20.0362
1330.5,17.9249
1331.5,10.3955
1332.5,23.9605
1333.5,26.1937
1334.5,33.6887
1335.5,52.7306
1336.5,79.7331
1337.5,77.3104
1338.5,120
1339.5,88.2245
1340.5,209.042
1341.5,239.352
1342.5,210.529
1343.5,249.554
1344.5,240.983
1345.5,250.334
1346.5,250.334
1347.5,250.334
1348.5,250.334
1349.5,250.334
1350.5,250.334
1351.5,250.334
1352.5,250.334
1353.5,250.334
1354.5,250.334
1355.5,250.334
1356.5,250.334
1357.5,194.198
1358.5,237.068
1359.5,96.5302
1360.5,69.2289
1361.5,65.9713
1362.5,33.0026
1363.5,24.732
1364.5,12.8126
1365.5,12.4687
1366.5,8.70483
1367.5,4.66513
1368.5,8.88425
1369.5,21.2308
1370.5,7.79402
1371.5,4.69264
1372.5,1.53758
1373.5,2.30206
1374.5,0
1375.5,0
1376.5,0
1377.5,0
1378.5,0
1379.5,0
1380.5,0
1381.5,0
1382.5,0.945018
1383.5,9.47065
1384.5,35.7809
1385.5,38.1029
1386.5,61.2227
1387.5,92.8975
1388.5,101.826
1389.5,168.241
1390.5,194.133
1391.5,250.334
1392.5,246.067
1393.5,239.564
1394.5,248.511
1395.5,250.334
1396.5,249.728
1397.5,247.821
1398.5,250.334
1399.5,242.574
1400.5,242.123
1401.5,250.334
1402.5,137.683
1403.5,197.134
1404.5,180.459
1405.5,134.978
1406.5,101.954
1407.5,116.113
1408.5,111.335
1409.5,143.489
1410.5,187.067
1411.5,226.7
1412.5,250.334
1413.5,244.556
1414.5,240.169
1415.5,241.944
1416.5,228.856
1417.5,244.59
1418.5,187.111
1419.5,142.159
1420.5,157.488
1421.5,149.054
1422.5,145.596
1423.5,173.291
1424.5,119.939
1425.5,77.0518
1426.5,116.816
1427.5,150.687
1428.5,146.082
1429.5,176.327
1430.5,202.113
1431.5,242.487
1432.5,215.258
1433.5,250.334
1434.5,250.334
1435.5,250.334
1436.5,250.334
1437.5,250.334
1438.5,250.334
1439.5,250.334
1440.5,241.05
1441.5,232.264
1442.5,230.175
1443.5,206.502
1444.5,209.983
1445.5,216.25
1446.5,0
1447.5,29.3646
1448.5,4.7614
1449.5,18.5509
1450.5,69.946
1451.5,17.5674
1452.5,33.7626
1453.5,154.046
1454.5,250.334
1455.5,250.334
1456.5,250.334
1457.5,250.334
1458.5,250.334
1459.5,250.334
1460.5,250.334
1461.5,250.334
1462.5,250.334
1463.5,250.334
1464.5,250.334
1465.5,250.334
1466.5,250.334
1467.5,250.334
1468.5,250.334
1469.5,250.334
1470.5,250.334
1471.5,250.334
1472.5,250.334
1473.5,250.334
1474.5,250.334
1475.5,250.334
1476.5,243.386
1477.5,228.453
1478.5,218.385
1479.5,137.319
1480.5,147.813
1481.5,121.302
1482.5,168.595
1483.5,143.567
1484.5,202.9
1485.5,129.129
1486.5,118.604
1487.5,143.239
1488.5,44.7448
1489.5,61.8474
1490.5,59.4105
1491.5,17.6328
1492.5,31.7949
1493.5,12.8342
1494.5,17.3347
1495.5,14.2938
1496.5,32.6992
1497.5,36.6635
1498.5,8.50992
1499.5,6.96537
1500.5,0.962501
1501.5,10.7904
1502.5,0.699266
1503.5,3.55219
1504.5,0
1505.5,0.216723
1506.5,4.854
1507.5,18.2986
1508.5,13.883
1509.5,23.7988
1510.5,26.5822
1511.5,20.088
1512.5,17.3326
1513.5,17.9358
1514.5,16.7447
1515.5,12.1587
1516.5,9.98643
1517.5,9.26232
1518.5,1.11697
1519.5,0
1520.5,0
1521.5,0
1522.5,0
1523.5,5.29411
1524.5,0
1525.5,5.88031
1526.5,6.03852
1527.5,9.28062
1528.5,7.12205
1529.5,13.3757
1530.5,23.3615
1531.5,33.5754
1532.5,23.7092
1533.5,15.9573
1534.5,28.6453
1535.5,45.0838
1536.5,42.4904
1537.5,46.3304
1538.5,95.0083
1539.5,87.1757
1540.5,38.3138
1541.5,13.5437
1542.5,80.5551
1543.5,207.447
